id,week,from,from_text,to,to_text
1,week1,2 Samuel 1:12,"And they mourned, and wept, and fasted until even, for Saul, and for Jonathan his son, and for the people of the LORD, and for the house of Israel; because they were fallen by the sword. 
",Ecclesiastes 3:4,"A time to weep, and a time to laugh; a time to mourn, and a time to dance; 
"
2,week1,2 Samuel 1:12,"And David said unto him, Thy blood be upon thy head; for thy mouth hath testified against thee, saying, I have slain the LORD's anointed. 
",Romans 8:9,"But ye are not in the flesh, but in the Spirit, if so be that the Spirit of God dwell in you. Now if any man have not the Spirit of Christ, he is none of his. 
"
3,week1,2 Samuel 1:12,NA,Genesis 12:3,"And I will bless them that bless thee, and curse him that curseth thee: and in thee shall all families of the earth be blessed. 
"
4,week1,2 Samuel 1:12,NA,Acts 9:4,"And he fell to the earth, and heard a voice saying unto him, Saul, Saul, why persecutest thou me? 
"
5,week1,2 Samuel 1:12,NA,Acts 9:5,"And he said, Who art thou, Lord? And the Lord said, I am Jesus whom thou persecutest: it is hard for thee to kick against the pricks. 
"
6,week1,2 Samuel 1:12,NA,Ezekiel 36:26,"A new heart also will I give you, and a new spirit will I put within you: and I will take away the stony heart out of your flesh, and I will give you an heart of flesh. 
"
7,week1,2 Samuel 1:16,NA,Proverbs 25:13,"As the cold of snow in the time of harvest, so is a faithful messenger to them that send him: for he refresheth the soul of his masters. 
"
8,week1,2 Samuel 1:16,NA,1 Samuel 2:30,"Wherefore the LORD God of Israel saith, I said indeed that thy house, and the house of thy father, should walk before me for ever: but now the LORD saith, Be it far from me; for them that honor me I will honor, and they that despise me shall be lightly esteemed. 
"
9,week1,2 Samuel 1:16,NA,Revelation 20:12,"And I saw the dead, small and great, stand before God; and the books were opened: and another book was opened, which is the book of life: and the dead were judged out of those things which were written in the books, according to their works. 
"
10,week1,2 Samuel 1:16,NA,1 Corinthians 1:24,"But unto them which are called, both Jews and Greeks, Christ the power of God, and the wisdom of God. 
"
