date,book,chapter,verse,kor,eng,
2020-10-19,Luke,13,24,좁은 문으로 들어가기를 힘쓰라 내가 너희에게 이르노니 들어가기를 구하여도 못하는 자가 많으리라 ,,
2020-10-20,,,,,,
2020-10-21,,,,,,
2020-10-22,,,,,,
2020-10-23,,,,,,
2020-10-24,,,,,,
2020-10-25,,,,,,
2020-10-26,Luke,18,7,하물며 하나님께서 그 밤낮 부르짖는 택하신 자들의 원한을 풀어 주지 아니하시겠느냐 그들에게 오래 참으시겠느냐 ,,
2020-10-27,,,,,,
2020-10-28,,,,,,
2020-10-29,,,,,,
2020-10-30,Luke,23,24,이에 예수께서 이르시되 아버지 저들을 사하여 주옵소서 자기들이 하는 것을 알지 못함이니이다 하시더라,,
2020-10-31,,,,,,
2020-11-01,,,,,,
2020-11-02,John,3,5,예수께서 대답하시되 진실로 진실로 네게 이르노니 사람이 물과 성령으로 나지 아니하면 하나님의 나라에 들어갈 수 없느니라,,
2020-11-03,John,4,24,하나님은 영이시니 예배하는 자가 영과 진리로 예배할지니라,,
2020-11-04,John,5,21,아버지께서 죽은 자들을 일으켜 살리심 같이 아들도 자기가 원하는 자들을 살리느니라,,
2020-11-05,John,6,35,예수께서 이르시되 나는 생명의 떡이니 내게 오는 자는 결코 주리지 아니할 터이요 나를 믿는 자는 영원히 목마르지 아니하리라,,
2020-11-06,,,,,,
2020-11-07,,,,,,
2020-11-08,,,,,,
2020-11-09,Psalms,35,24,여호와 나의 하나님이여 주의 공의대로 나를 판단하사 그들이 나로 말미암아 기뻐하지 못하게 하소서,,
2020-11-10,John,11,27,이르되 주여 그러하외다 주는 그리스도시요 세상에 오시는 하나님의 아들이신 줄 내가 믿나이다,,
2020-11-11,John,12,46,나는 빛으로 세상에 왔나니 무릇 나를 믿는 자로 어둠에 거하지 않게 하려 함이로다,,
2020-11-12,John,13,34,새 계명을 너희에 주노니 서로 사랑하라 내가 너희를 사랑한 것 같이 너희도 서로 사랑하라,,
2020-11-13,John,14,6,예수께서 이르시되 내가 곧 길이요 진리요 생명이니 나로 말미암지 않고는 아버지께로 올 자가 없느니라,,
2020-11-14,,,,,,
2020-11-15,,,,,,
2020-11-16,John,17,3,영생은 곧 유일하신 참 하나님과 그가 보내신 자 예수 그리스도를 아는 것이니이다,,
2020-11-17,Psalms,91,14,하나님이 이르시되 그가 나를 사랑한즉 내가 그를 건지리라 그가 내 이름을 안즉 내가 그를 높이리라,,
2020-11-18,Psalms,144,3,여호와여 사람이 무엇이기에 주께서 그를 알아 주시며 인생이 무엇이기에 그를 생각하시나이까,,
2020-11-19,Psalms,32,7,주는 은신처이오니 환난에서 나를 보호하시고 구원의 노래로 나를 두르시리이다 (셀라),,
2020-11-20,Psalms,143,8,아침에 나로 하여금 주의 인자한 말씀을 듣게 하소서 내가 주를 의뢰함이니이다 내가 다닐 길을 알게 하소서 내가 내 영혼을 주께 드림이니이다,,
