From,To
Eph.1.1,John.15.4-7
Eph.1.1,John.6.8
Eph.1.2,na
Eph.1.3,na
Eph.1.4,na
Eph.1.5,na
Eph.1.6,na
Eph.1.7,Heb.9.12
Eph.1.7,Psa.51.1
Eph.1.7,Psa.31.1
Eph.1.8,na
Eph.1.9,Luke.12.6-7
Eph.1.10,Gen.3.17-18
Eph.1.10,Acts.2.21
Eph.1.10,Eph.2.13
Eph.1.10,2Cor.5.17
Eph.1.11,Deu.9.29
Eph.1.11,Zech.2.12
Eph.1.12,na
Eph.1.13,Rom.8.9-16
Eph.1.13,Rom.8.14-16
Eph.1.13,Gal.4.4-7
Eph.1.14,na
Eph.1.15,na
Eph.1.16,1Cor.1.4
Eph.1.16,Rom.1.8
Eph.1.16,2Thess.1.3
Eph.1.17,Matt.23.23-24
Eph.1.17,Acts.18.25-26
Eph.1.18,Eph.3.8
Eph.1.18,1John3.3
Eph.1.18,Col.1.27
Eph.1.18,Rev.3.17-19
Eph.1.19,na
Eph.1.20,na
Eph.1.21,na
Eph.1.22,na
Eph.1.23,na
Eph.2.1,John.5.24
Eph.2.2,John.15.19
Eph.2.3,1John.2.16
Eph.2.4,na
Eph.2.5,na
Eph.2.6,na
Eph.2.7,na
Eph.2.8,na
Eph.2.9,2Cor.5.17
Eph.2.10,1Peter.2.12
Eph.2.10,1Tim.6.18
Eph.2.11,Deu.7.6
Eph.2.11,Gal.5.6
Eph.2.11,Rom.2.25-29
Eph.2.12,na
Eph.2.13,Isa.57.19
Eph.2.13,Eph.1.7
Eph.2.13,Heb.9.22
Eph.2.14,Gal.3.28
Eph.2.14,Col.3.11
Eph.2.14,Acts.21.28-29
Eph.2.15,na
Eph.2.16,na
Eph.2.17,na
Eph.2.18,na
Eph.2.19,na
Eph.2.20,na
Eph.2.21,na
Eph.2.22,na
Eph.3.1,2Tim.1.8
Eph.3.1,Acts.9.15
Eph.3.2,Isa.11.10
Eph.3.3,na
Eph.3.4,na
Eph.3.5,na
Eph.3.6,Mal.1.11
Eph.3.6,Eph.1.9-10
Eph.3.6,Col.1.26-27
Eph.3.6,John13.34-35
Eph.3.6,Acts.10.15
Eph.3.7,na
Eph.3.8,na
Eph.3.9,na
Eph.3.10,na
Eph.3.11,na
Eph.3.12,Heb.4.16
Eph.3.12,Eph.2.7
Eph.3.13,na
Eph.3.14,na
Eph.3.15,na
Eph.3.16,Rom.7.19-23
Eph.3.16,2Cor.4.16
Eph.3.16,Matt.6.33
Eph.3.16,3John.1.2
Eph.3.16,John.16.33
Eph.3.16,Act.14.22
Eph.3.16,Act.20.22-24
Eph.3.16,Phil.1.29
Eph.3.16,2Tim.3.12
Eph.3.16,Rev.2.13
Eph.3.17,1Cor.13.1-3
Eph.3.18,na
Eph.3.19,na
