book,chapter,verse
Ephesians,1,1
Ephesians,1,2
Ephesians,1,3
Ephesians,1,4
Ephesians,1,5
Ephesians,1,6
John,15,4
John,15,5
John,15,6
John,15,7
John,4,14
John,4,15
John,4,16
John,4,17
John,4,18
John,4,19
John,4,20
John,4,21
John,4,22
John,4,23
John,4,24
John,4,25
John,4,26
Hosea,6,3
Ephesians,1,7
Ephesians,1,8
Ephesians,1,9
Ephesians,1,10
Ephesians,1,11
Ephesians,1,12
Ephesians,1,13
Ephesians,1,14
Hebrews,9,12
Psalms,51,1
Psalms,31,1
Luke,12,7
Genesis,3,17
Genesis,3,18
Acts,2,21
2Conrinthian,5,17
Ephesians,2,13
Deuteronomy,9,29
Romans,8,9
Romans,8,14
Romans,8,15
Romans,8,16
Galatians,4,4
Galatians,4,5
Galatians,4,6
Galatians,4,7
Ephesians,1,15
Ephesians,1,16
Ephesians,1,17
Ephesians,1,18
Ephesians,1,19
Ephesians,1,20
Ephesians,1,21
Ephesians,1,22
Ephesians,1,23
1Corinthians,1,4
Romans,1,8
2Thessalonians,1,3
Matthew,23,23
Matthew,23,24
Acts,18,25
Acts,18,26
Ephesians,3,8
1John,3,3
Colossians,1,27
Revelation,3,17
Revelation,3,18
Revelation,3,19
Ephesians,2,1
Ephesians,2,2
Ephesians,2,3
Ephesians,2,4
Ephesians,2,5
Ephesians,2,6
Ephesians,2,7
Ephesians,2,8
Ephesians,2,9
Ephesians,2,10
John,5,24
John,15,19
1John,2,16
2Conrinthian,5,17
1Peter,2,12
1Timothy,6,18
Ephesians,2,11
Ephesians,2,12
Ephesians,2,13
Ephesians,2,14
Ephesians,2,15
Ephesians,2,16
Ephesians,2,17
Ephesians,2,18
Ephesians,2,19
Ephesians,2,20
Ephesians,2,21
Ephesians,2,22
Deuteronomy,7,6
Galatians,5,6
Romans,2,25
Isaiah,57,19
Ephesians,1,7
Hebrews,9,22
Galatians,3,28
Colossians,3,11
Acts,21,28
Acts,21,29
Ephesians,3,1
Ephesians,3,2
Ephesians,3,3
Ephesians,3,4
Ephesians,3,5
Ephesians,3,6
Ephesians,3,7
Ephesians,3,8
Ephesians,3,9
Ephesians,3,10
Ephesians,3,11
Ephesians,3,12
Ephesians,3,13
Acts,9,15
Isaiah,11,10
Malagi,1,11
Ephesians,1,9
Ephesians,1,10
Colossians,1,26
Colossians,1,27
Acts,10,15
Acts,10,34
Acts,10,35
Hebrews,4,16
Ephesians,3,14
Ephesians,3,15
Ephesians,3,16
Ephesians,3,17
Ephesians,3,18
Ephesians,3,19
Ephesians,3,20
Ephesians,3,21
Romans,7,19
Romans,7,20
Romans,7,21
Romans,7,22
Romans,7,23
2Corinthians,4,6
Matthew,6,33
3John,1,2
John,16,33
Acts,14,22
Acts,20,22
Acts,20,23
Acts,20,24
Phillipians,1,29
2Timothy,3,13
Revelation,2,13
1Corinthians,13,1
1Corinthians,13,2
1Corinthians,13,3
Ephesians,4,1
Ephesians,4,3
Ephesians,4,4
Ephesians,4,5
Ephesians,4,6
Ephesians,4,7
Ephesians,4,8
Ephesians,4,9
Ephesians,4,10
Ephesians,4,11
Ephesians,4,12
Ephesians,4,13
Ephesians,4,14
Ephesians,4,15
Ephesians,4,16
Ephesians,4,17
Ephesians,4,18
Ephesians,4,19
Ephesians,4,20
Ephesians,4,21
Ephesians,4,22
Ephesians,4,23
Ephesians,4,24
Ephesians,4,25
Ephesians,4,26
Ephesians,4,27
Ephesians,4,28
Ephesians,4,29
Ephesians,4,30
Ephesians,4,31
Ephesians,4,32
Ephesians,4,33
Ephesians,1,4
Ephesians,1,5
Ephesians,1,6
1Peter,2,9
Ephesians,1,10
Matthew,11,29
Matthew,11,30
Matthew,23,8
Matthew,23,9
Matthew,23,10
Matthew,23,11
Matthew,23,12
1Peter,5,5
1Peter,5,6
1Peter,5,7
John,13,13
John,13,14
Psalms,68,18
1Corinthians,9,1
Galatians,1,11
Galatians,1,12
Philipians,3,7
Philipians,3,8
Philipians,3,9
Romans,1,21
John,8,12
Acts,26,8
Jeremiah,6,15
1Timothy,4,2
Galatians,1,4
Colossians,1,13
John,6,63
Psalms,51,6
Genesis,3,4
John,8,44
Acts,5,3
Matthew,5,37
Deuteronomy,9,8
Psalms,97,10
Romans,12,9
Romans,12,10
Romans,12,11
Romans,12,12
Romans,12,13
Romans,12,14
Romans,12,15
Romans,12,16
Romans,12,17
Romans,12,18
Romans,12,19
Romans,12,20
Romans,12,21
Mark,3,5
Acts,20,34
Acts,20,35
James,3,2
Ephesians,5,4
Matthew,12,35
Matthew,12,36
Romans,8,9
Galatians,5,19
Galatians,5,20
Galatians,5,21
Galatians,5,22
Galatians,5,23
Matthew,18,21
Matthew,18,22
Matthew,18,23
Matthew,18,24
Matthew,18,25
Matthew,18,26
Matthew,18,27
Matthew,18,28
Matthew,18,29
Matthew,18,30
Matthew,18,31
Matthew,18,32
Matthew,18,33
Matthew,18,34
Matthew,18,35
Ephesians,5,1
Ephesians,5,2
Ephesians,5,3
Ephesians,5,4
Ephesians,5,5
Ephesians,5,6
Ephesians,5,7
Ephesians,5,8
Ephesians,5,9
Ephesians,5,10
Ephesians,5,11
Ephesians,5,12
Ephesians,5,13
Ephesians,5,14
Ephesians,5,15
Ephesians,5,16
Ephesians,5,17
Ephesians,5,18
Ephesians,5,19
Ephesians,5,20
Ephesians,5,21
Ephesians,5,22
Ephesians,5,23
Ephesians,5,24
Ephesians,5,25
Ephesians,5,26
Ephesians,5,27
Ephesians,5,28
Ephesians,5,29
Ephesians,5,30
Ephesians,5,31
Ephesians,5,32
Ephesians,5,33
Ephesians,1,4
Ephesians,1,5
Ephesians,2,9
John,13,34
John,13,35
1John,4,7
1John,4,8
John,10,11
John,15,13
Matthew,20,28
Galatians,1,4
1John,3,16
Matthew,5,45
Matthew,5,48
Matthew,6,8
Colossians,4,6
1Thessalonians,5,18
1Corinthians,6,9
1Corinthians,6,10
Ephesians,4,14
Acts,20,28
Acts,20,29
Acts,20,30
Acts,20,31
John,8,12
Matthew,5,14
Matthew,5,15
John,1,9
John,1,5
Romans,1,21
1John,1,5
Ephesians,4,18
John,3,19
John,1,12
Ephesians,4,31
Galatians,5,19
Galatians,5,20
Galatians,5,21
Romans,12,1
Romans,12,2
1Corinthians,2,14
Psalms,1,1
1Corinthians,4,3
1Corinthians,4,4
Matthew,7,24
Luke,12,20
Luke,12,21
Colossians,2,3
Acts,26,18
Acts,26,28
Acs,26,29
Acts,28,30
Acts,28,31
1Thessalonians,4,3
1Thessalonians,4,4
1Thessalonians,4,5
1Thessalonians,4,6
1Corinthians,10,31
1Corinthians,11,3
Ephesians,4,15
Ephesians,4,16
2Corinthians,6,14
Philipians,2,6
Philipians,2,7
Philipians,2,8
2Timothy,1,7
Acts,1,8
John,14,21
1Corinthians,13,4
1Corinthians,13,5
1Corinthians,13,6
1Corinthians,13,7
John,17,17
John,17,18
John,17,19
1Peter,1,23
1Peter,3,7
Colossians,3,19
Genesis,2,24
Ephesians,6,1
Ephesians,6,2
Ephesians,6,3
