category,word
Fruit_of_the_Spirit,love
Fruit_of_the_Spirit,joy
Fruit_of_the_Spirit,peace
Fruit_of_the_Spirit,forebearance
Fruit_of_the_Spirit,kindness
Fruit_of_the_Spirit,goodness
Fruit_of_the_Spirit,faithfulness
Fruit_of_the_Spirit,gentleness
Fruit_of_the_Spirit,self-control
Think_about_Whatever_is,TRUE
Think_about_Whatever_is,noble
Think_about_Whatever_is,right
Think_about_Whatever_is,pure
Think_about_Whatever_is,lovely
Think_about_Whatever_is,admirable
Think_about_Whatever_is,excellent
Think_about_Whatever_is,praiseworthy
Love,patient
Love,kind
Love,not envy
Love,not boast
Love,not proud
Love,not dishonor others
Love,not self-seeking
Love,not easily angered
Love,keep no record of wrongs
Love,not delight in evil
Love,rejoice with the truth
The_Wicked,wickedness
The_Wicked,evil
The_Wicked,greed
The_Wicked,depravity
The_Wicked,envy
The_Wicked,murder
The_Wicked,strife
The_Wicked,deceit
The_Wicked,malice
The_Wicked,gossips
The_Wicked,slanderers
The_Wicked,God-haters
The_Wicked,insolent
The_Wicked,arrogant
The_Wicked,boastful
The_Wicked,invent ways of doing evil
The_Wicked,disobey their parents
The_Wicked,no understand
The_Wicked,no fidelity
The_Wicked,no love
The_Wicked,no mercy
