dday,month,day,word,book
1,1,1,appear,1 John
1,1,2,remain,1 John
1,1,3,rooted,Ephesians
1,1,4,lavish,1 John
1,1,5,purify,1 John
1,1,6,recognize,1 John
1,1,7,live,1 John
1,1,8,obey,1 John
1,1,9,walk,2 John
1,1,10,enlighten,Ephesians
1,1,11,imitate,3 John
1,1,12,save,Matthew
1,1,13,expose,Matthew
1,1,14,consider,Matthew
1,1,15,escape,Matthew
1,1,16,repent,Matthew
1,1,17,put off ,Ephesians
1,1,18,attend,Matthew
1,1,19,follow,Matthew
1,1,20,put,Matthew
1,1,21,surpass,Matthew
1,1,22,force,Matthew
1,1,23,deliver,Matthew
1,1,24,benefit,Ephesians
1,1,25,lose,Matthew
1,1,26,close,Matthew
1,1,27,sum up,Matthew
1,1,28,enter,Matthew
1,1,29,bore,Matthew
1,1,30,desrve,Matthew
1,1,31,give,Ephesians
2,2,1,entertain,Matthew
2,2,2,desire,Matthew
2,2,3,harvest,Matthew
2,2,4,go rather,Matthew
2,2,5,acknowledge,Matthew
2,2,6,expect,Matthew
2,2,7,understand,Ephesians
2,2,8,reveal,Matthew
2,2,9,produce,Matthew
2,2,10,perceive,Matthew
2,2,11,choke,Matthew
2,2,12,form,Matthew
2,2,13,cause,Matthew
2,2,14,submit,Ephesians
2,2,15,collect,Matthew
2,2,16,withdraw,Matthew
2,2,17,have,Matthew
2,2,18,dismissed,Matthew
2,2,19,come,Matthew
2,2,20,nullify,Matthew
2,2,21, sing,Ephesians
2,2,22,interprete,Matthew
2,2,23,rebuke,Matthew
2,2,24,become,Matthew
2,2,25,transfigure,Matthew
2,2,26,welcome,Matthew
2,2,27,cancel,Matthew
2,2,28,obey,Ephesians
3,3,1,join,Matthew
3,3,2,lack,Matthew
3,3,3,accept,Matthew
3,3,4,inherit,Matthew
3,3,5,exercise,Matthew
3,3,6,rebuke,Matthew
3,3,7,pray,Ephesians
3,3,8,overturn,Matthew
3,3,9,incite,Matthew
3,3,10,noticed,Matthew
3,3,11,trap,Matthew
3,3,12,gather,Matthew
3,3,13,pray,Matthew
3,3,14,remember,1 Samuel
3,3,15,learn,Matthew
3,3,16,take,Matthew
3,3,17,be ready,Matthew
3,3,18,give,Matthew
3,3,19,expect,Matthew
3,3,20,open,Matthew
3,3,21,rejoice,1 Samuel
3,3,22,pour,Matthew
3,3,23,waste,Matthew
3,3,24,celebrate,Matthew
3,3,25,disown,Matthew
3,3,26,betray,Matthew
3,3,27,pray,Matthew
3,3,28,made,1 Samuel
3,3,29,crucify,Matthew
3,3,30,carry,Matthew
3,3,31,cut out,Matthew
4,4,1,come,Matthew
4,4,2,tell,Matthew
4,4,3,go,Matthew
4,4,4,show,1 Samuel
4,4,5,multiply,Exodus
4,4,6,live,Exodus
4,4,7,nurse,Exodus
4,4,8,burn up,Exodus
4,4,9,rescue,Exodus
4,4,10,assemble,Exodus
4,4,11,blaspheme,1 Samuel
4,4,12,make,Exodus
4,4,13,let,Exodus
4,4,14,keep,Exodus
4,4,15,produce,Exodus
4,4,16,drive,Exodus
4,4,17,bring,Exodus
4,4,18,bring,1 Samuel
4,4,19,harden,Exodus
4,4,20,confront,Exodus
4,4,21,ynyield,Exodus
4,4,22,continue,Exodus
4,4,23,flash,Exodus
4,4,24,show,Exodus
4,4,25,depart,1 Samuel
4,4,26,fear,Exodus
4,4,27,celebrate,Exodus
4,4,28,change,Exodus
4,4,29,die,Exodus
4,4,30,dispose,Exodus
5,5,1,,Exodus
5,5,2,glorify,1 Samuel
5,5,3,spare,Exodus
5,5,4,journey,Exodus
5,5,5,consecrate,Exodus
5,5,6,return,Exodus
5,5,7,gain,Exodus
5,5,8,be,Exodus
5,5,9,,1 Samuel
5,5,10,sing,Exodus
5,5,11,camp,Exodus
5,5,12,follow,Exodus
5,5,13,gather,Exodus
5,5,14,keep,Exodus
5,5,15,quarrel,Exodus
5,5,16,return,1 Samuel
5,5,17,eat,Exodus
5,5,18,inform,Exodus
5,5,19,wash,Exodus
5,5,20,warn,Exodus
5,5,21,misuse,Exodus
5,5,22,cause,Exodus
5,5,23,reject,1 Samuel
5,5,24,grant,Exodus
5,5,25,compensate,Exodus
5,5,26,steal,Exodus
5,5,27,mistreat,Exodus
5,5,28,spread,Exodus
5,5,29,celebrate,Exodus
5,5,30,dine,1 Samuel
5,5,31,settle,Exodus
6,6,1,meditate,Exodus
6,6,2,install,Exodus
6,6,3,"lift, sustain",Exodus
6,6,4,shine,Exodus
6,6,5,flood,Exodus
6,6,6,wait,1 Samuel
6,6,7,recoil,Exodus
6,6,8,silence,Exodus
6,6,9,upheld,Exodus
6,6,10,defend,Exodus
6,6,11,examine,Exodus
6,6,12,show,Exodus
6,6,13,touch,1 Samuel
6,6,14,overlay,Exodus
6,6,15,fasten,Exodus
6,6,16,separate,Exodus
6,6,17,build,Exodus
6,6,18,serve,Exodus
6,6,19,alternate,Exodus
6,6,20,renew,1 Samuel
6,6,21,ordain,Exodus
6,6,22,burn,Exodus
6,6,23,meet,Exodus
6,6,24,light,Exodus
6,6,25,grind,Exodus
6,6,26,fill,Exodus
6,6,27,testify,1 Samuel
6,6,28,relent,Exodus
6,6,29,let,Exodus
6,6,30,lead,Exodus
7,7,1,might,Exodus
7,7,2,distinguish,Exodus
7,7,3,do,Exodus
7,7,4,,1 Samuel
7,7,5,appear,Exodus
7,7,6,assemble,Exodus
7,7,7,move,Exodus
7,7,8,know,Exodus
7,7,9,fasten,Exodus
7,7,10,carry,Exodus
7,7,11,act,1 Samuel
7,7,12,twist,Exodus
7,7,13,fashion,Exodus
7,7,14,braid,Exodus
7,7,15,minister,Exodus
7,7,16,inspect,Exodus
7,7,17,place,Exodus
7,7,18,brighten,1 Samuel
7,7,19,silence,Psalms
7,7,20,wrestle,Psalms
7,7,21,frustrate,Psalms
7,7,22,lend,Psalms
7,7,23,counsel,Psalms
7,7,24,,Psalms
7,7,25,mourn,1 Samuel
7,7,26,confront,Psalms
7,7,27,scale,Psalms
