dday,month,day,word,book,chapter,verse
1,1,1,appear,1 John,1,3
1,1,2,remain,1 John,2,24
1,1,3,root,Ephesians,3,17
1,1,4,lavish,1 John,3,1
1,1,5,purify,1 John,3,3
1,1,6,recognize,1 John,4,6
1,1,7,live,1 John,4,13
1,1,8,overcome,1 John,5,5
1,1,9,walk,2 John,1,6
1,1,10,apportion,Ephesians,4,7
1,1,11,imitate,3 John,1,11
1,1,12,save,Matthew,1,21
1,1,13,expose,Matthew,1,19
1,1,14,consider,Matthew,1,20
1,1,15,escape,Matthew,2,13
1,1,16,repent,Matthew,3,1
1,1,17,create,Ephesians,4,24
1,1,18,attend,Matthew,4,11
1,1,19,follow,Matthew,4,19
1,1,20,put,Matthew,5,15
1,1,21,surpass,Matthew,5,20
1,1,22,force,Matthew,5,41
1,1,23,deliver,Matthew,6,13
1,1,24,benefit,Ephesians,4,29
1,1,25,store,Matthew,6,19
1,1,26,worry,Matthew,6,31
1,1,27,sum up,Matthew,7,12
1,1,28,enter,Matthew,7,13
1,1,29,bear,Matthew,8,17
1,1,30,deserve,Matthew,8,8
1,1,31,give,Ephesians,5,2
2,2,1,entertain,Matthew,9,4
2,2,2,desire,Matthew,9,13
2,2,3,harvest,Matthew,9,37
2,2,4,go rather,Matthew,10,6
2,2,5,acknowledge,Matthew,10,32
2,2,6,expect,Matthew,11,3
2,2,7,understand,Ephesians,5,17
2,2,8,reveal,Matthew,11,27
2,2,9,produce,Matthew,13,8
2,2,10,perceive,Matthew,13,14
2,2,11,choke,Matthew,13,22
2,2,12,form,Matthew,13,26
2,2,13,cause,Matthew,13,41
2,2,14,submit,Ephesians,5,19
2,2,15,collect,Matthew,13,18
2,2,16,withdraw,Matthew,14,13
2,2,17,have,Matthew,14,14
2,2,18,dismissed,Matthew,14,23
2,2,19,come,Matthew,14,29
2,2,20,nullify,Matthew,15,8
2,2,21, sing,Ephesians,5,21
2,2,22,interprete,Matthew,16,3
2,2,23,rebuke,Matthew,16,22
2,2,24,become,Matthew,17,2
2,2,25,transfigure,Matthew,17,2
2,2,26,welcome,Matthew,18,5
2,2,27,cancel,Matthew,18,27
2,2,28,obey,Ephesians,6,5
3,3,1,join,Matthew,19,6
3,3,2,lack,Matthew,19,20
3,3,3,accept,Matthew,19,12
3,3,4,inherit,Matthew,19,29
3,3,5,exercise,Matthew,20,25
3,3,6,rebuke,Matthew,20,31
3,3,7,pray,Ephesians,6,18
3,3,8,overturn,Matthew,21,12
3,3,9,incite,Matthew,22,8
3,3,10,notice,Matthew,22,11
3,3,11,trap,Matthew,22,15
3,3,12,gather,Matthew,23,37
3,3,13,pray,Matthew,24,20
3,3,14,remember,1 Samuel,1,11
3,3,15,learn,Matthew,24,31
3,3,16,take,Matthew,24,40
3,3,17,be ready,Matthew,24,44
3,3,18,give,Matthew,24,45
3,3,19,expect,Matthew,24,51
3,3,20,open,Matthew,25,11
3,3,21,rejoice,1 Samuel,2,1
3,3,22,pour,Matthew,26,7
3,3,23,waste,Matthew,26,8
3,3,24,celebrate,Matthew,26,18
3,3,25,disown,Matthew,26,34
3,3,26,betray,Matthew,26,23
3,3,27,pray,Matthew,26,36
3,3,28,made,1 Samuel,2,19
3,3,29,crucify,Matthew,27,22
3,3,30,carry,Matthew,27,32
3,3,31,cut out,Matthew,27,60
4,4,1,come,Matthew,28,6
4,4,2,tell,Matthew,28,10
4,4,3,go,Matthew,28,19
4,4,4,show,John,20,20
4,4,5,multiply,Exodus,1,7
4,4,6,live,Exodus,1,17
4,4,7,nurse,Exodus,2,7
4,4,8,burn up,Exodus,3,3
4,4,9,rescue,Exodus,3,8
4,4,10,assemble,Exodus,3,16
4,4,11,blaspheme,1 Samuel,3,13
4,4,12,make,Exodus,4,11
4,4,13,let,Exodus,5,1
4,4,14,keep,Exodus,5,17
4,4,15,produce,Exodus,5,18
4,4,16,drive,Exodus,6,1
4,4,17,bring,Exodus,6,8
4,4,18,bring,1 Samuel,4,3
4,4,19,harden,Exodus,7,3
4,4,20,confront,Exodus,7,15
4,4,21,unyield,Exodus,9,7
4,4,22,continue,Exodus,9,2
4,4,23,flash,Exodus,9,24
4,4,24,show,Exodus,9,16
4,4,25,depart,1 Samuel,4,22
4,4,26,fear,Exodus,9,20
4,4,27,celebrate,Exodus,10,9
4,4,28,change,Exodus,10,19
4,4,29,die,Exodus,10,28
4,4,30,dispose,Exodus,11,3
5,5,1,determine,Exodus,12,4
5,5,2,send,1Samuel,5,11
5,5,3,spare,Exodus,12,27
5,5,4,journey,Exodus,12,37
5,5,5,consecrate,Exodus,13,1
5,5,6,return,Exodus,13,17
5,5,7,gain,Exodus,14,4
5,5,8,be,Exodus,14,14
5,5,9,return,1 Samuel,6,3
5,5,10,sing,Exodus,15,1
5,5,11,camp,Exodus,15,22
5,5,12,follow,Exodus,16,4
5,5,13,gather,Exodus,16,17
5,5,14,keep,Exodus,16,32
5,5,15,quarrel,Exodus,17,2
5,5,16,return,1 Samuel,7,3
5,5,17,eat,Exodus,18,12
5,5,18,inform,Exodus,18,16
5,5,19,wash,Exodus,19,10
5,5,20,warn,Exodus,19,21
5,5,21,misuse,Exodus,20,7
5,5,22,cause,Exodus,20,24
5,5,23,reject,1 Samuel,8,7
5,5,24,grant,Exodus,21,9
5,5,25,compensate,Exodus,21,26
5,5,26,steal,Exodus,22,3
5,5,27,mistreat,Exodus,22,21
5,5,28,spread,Exodus,23,1
5,5,29,celebrate,Exodus,23,15
5,5,30,dine,1 Samuel,9,24
5,5,31,settle,Exodus,24,16
6,6,1,meditate,Psalms,1,2
6,6,2,install,Psalms,2,6
6,6,3,lift,Psalms,3,3
6,6,4,shine,Psalms,4,6
6,6,5,flood,Psalms,6,6
6,6,6,wait,1 Samuel,10,8
6,6,7,recoil,Psalms,7,16
6,6,8,silence,Psalms,8,2
6,6,9,upheld,Psalms,9,4
6,6,10,defend,Psalms,10,18
6,6,11,examine,Psalms,11,4
6,6,12,show,Exodus,25,8
6,6,13,touch,1 Samuel,10,26
6,6,14,overlay,Exodus,25,24
6,6,15,fasten,Exodus,26,6
6,6,16,separate,Exodus,26,33
6,6,17,build,Exodus,27,1
6,6,18,serve,Exodus,28,1
6,6,19,alternate,Exodus,28,34
6,6,20,renew,1 Samuel,11,14
6,6,21,ordain,Exodus,29,1
6,6,22,burn,Exodus,29,14
6,6,23,meet,Exodus,29,43
6,6,24,light,Exodus,30,8
6,6,25,grind,Exodus,30,36
6,6,26,fill,Exodus,31,3
6,6,27,testify,1 Samuel,12,3
6,6,28,relent,Exodus,32,12
6,6,29,let,Exodus,32,25
6,6,30,lead,Exodus,32,34
7,7,1,might,Exodus,33,3
7,7,2,distinguish,Exodus,33,16
7,7,3,do,Exodus,34,10
7,7,4,number,1 Samuel,13,15
7,7,5,appear,Exodus,34,20
7,7,6,assemble,Exodus,35,1
7,7,7,move,Exodus,35,21
7,7,8,know,Exodus,36,1
7,7,9,fasten,Exodus,36,13
7,7,10,carry,Exodus,37,5
7,7,11,act,1 Samuel,14,6
7,7,12,twist,Exodus,38,18
7,7,13,fashion,Exodus,39,8
7,7,14,braid,Exodus,39,15
7,7,15,minister,Exodus,39,26
7,7,16,inspect,Exodus,39,43
7,7,17,place,Exodus,40,6
7,7,18,brighten,1 Samuel,14,27
7,7,19,silence,Psalms,12,3
7,7,20,wrestle,Psalms,13,2
7,7,21,frustrate,Psalms,14,6
7,7,22,lend,Psalms,15,5
7,7,23,counsel,Psalms,16,7
7,7,24,probe,Psalms,17,3
7,7,25,mourn,1 Samuel,15,35
7,7,26,confront,Psalms,18,18
7,7,27,scale,Psalms,18,29
7,7,28,arm,Psalms,18,32
7,7,29,discern,Psalms,19,12
7,7,30,accept,Psalms,20,3
7,7,31,greet,Psalms,21,3
8,8,1,depart,1 Samuel,16,14
8,8,2,send,Philemon,1,23
8,8,3,answer,Judges,1,2
8,8,4,live,Judges,1,16
8,8,5,become,Judges,1,28
8,8,6,die,Judges,2,8
8,8,7,teach,Judges,3,2
8,8,8,remove,1 Samuel,17,26
8,8,9,escape,Judges,3,26
8,8,10,deliver,Judges,4,9
8,8,11,subdue,Judges,4,23
8,8,12,recite,Judges,5,10
8,8,13,rise,Judges,5,31
8,8,14,realize,Judges,6,22
8,8,15,triumph,1 Samuel,17,50
8,8,16,contend,Judges,6,32
8,8,17,promise,Judges,6,36
8,8,18,thin,Judges,7,4
8,8,19,smash,Judges,7,20
8,8,20,subside,Judges,8,3
8,8,21,fail,Judges,8,35
8,8,22,elude,1 Samuel,18,11
8,8,23,escape,Judges,9,5
8,8,24,consume,Judges,9,20
8,8,25,avenge,Judges,9,24
8,8,26,repay,Judges,9,56
8,8,27,forsake,Judges,10,10
8,8,28,bear,Judges,10,16
8,8,29,elapse,1 Samuel,18,26
8,8,30,wrong,Judges,11,27
8,8,31,advance,Judges,11,29
9,9,1,pronounce,Judges,12,6
9,9,2,govern,Judges,13,12
9,9,3,realize,Judges,13,21
9,9,4,confront,Judges,14,4
9,9,5,benefit,1 Samuel,19,4
9,9,6,burn,Judges,15,5
9,9,7, revive,Judges,15,19
9,9,8,grow,Judges,16,22
9,9,9,remember,Judges,16,28
9,9,10,install,Judges,17,12
9,9,11,hire,Judges,18,4
9,9,12,reaffirm,1 Samuel,20,17
9,9,13,use,Judges,18,31
9,9,14,welcome,Judges,19,3
9,9,15,supply,Judges,19,20
9,9,16,purge,Judges,20,13
9,9,17,fast,Judges,20,26
9,9,18,defeat,Judges,20,35
9,9,19,weep,1 Samuel,20,41
9,9,20,discover,Judges,21,8
9,9,21,rebuild,Judges,21,23
9,9,22,display,1 Timothy,1,16
9,9,23,dress,1 Timothy,2,9
9,9,24,manage,1 Timothy,3,4
9,9,25,nourish,1 Timothy,4,6
9,9,26,pretend,1 Samuel,21,13
9,9,27,provide,1 Timothy,5,8
9,9,28,direct,1 Timothy,5,17
9,9,29,pierce,1 Timothy,6,10
9,9,30,flee,1 Timothy,6,12
10,10,1,fear,Job,1,1
10,10,2,charge,Job,1,22
10,10,3,gather,1 Samuel,22,2
10,10,4,ruin,Job,2,3
10,10,5,open,Job,3,1
10,10,6, hedge,Job,3,23
10,10,7,venture,Job,4,2
10,10,8,thwart,Job,5,12
10,10,9,examine,Job,5,27
10,10,10,help,1 Samuel,23,16
10,10,11,outweigh,Job,6,3
10,10,12,reconsider,Job,6,29
10,10,13,cloth,Job,7,5
10,10,14,complain,Job,7,11
10,10,15,entwine,Job,8,17
10,10,16,fathom,Job,9,10
10,10,17,vindicate,1 Samuel,24,15
10,10,18,mock,Job,9,23
10,10,19,mediate,Job,9,33
10,10,20,shape,Job,10,8
10,10,21,wish,Job,11,5
10,10,22,recall,Job,11,16
10,10,23,distinguish,Job,12,11
10,10,24,assemble,1 Samuel,25,1
10,10,25,silence,Job,12,20
10,10,26,smear,Job,13,4
10,10,27,withdraw,Job,13,21
10,10,28,cover,Job,14,17
10,10,29,fill,Job,15,2
10,10,30,deceive,Job,15,31
10,10,31,mean,1 Samuel,25,25
11,11,1,surround,Job,16,13
11,11,2,triumph,Job,17,4
11,11,3,descend,Job,17,16
11,11,4,thrust,Job,18,8
11,11,5,alienate,Job,19,13
11,11,6,engrave,Job,19,24
11,11,7,value,1 Samuel,36,24
11,11,8,hide,Job,20,12
11,11,9,seize,Job,21,6
11,11,10,teach,Job,21,22
11,11,11,withhold,Job,22,7
11,11,12,treasure,Job,23,12
11,11,13,reduce,Job,24,25
11,11,14,see,1 Samuel,28,2
11,11,15,reply,Job,25,1
11,11,16,suspend,Job,26,7
11,11,17,utter,Job,27,4
11,11,18,hiss,Job,27,23
